,Marca,Modelo,Precio,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Consumo de combustible,Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Mes,Ciudad,CP,provincia
0,Cupra,Formentor,20995.0,150.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,26141.0,2021,Manual,1329.0,4.8,Negro,Negro Midnight (metalizado),Tracción delantera,4.0,6.0,4.0,1420.0,Gasolina,5,Zaragoza,50014,Zaragoza
1,GMC,Yukon,79000.0,426.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,81422.0,2018,Automático,1987.0,4.1,Gris,Gris,Tracción delantera,5.0,5.0,4.0,1615.0,Gasolina,6,Madrid,28043,Madrid
2,Audi,R8,51500.0,420.0,Prof.,Coupé,Ocasión,2,España,12,81100.0,2007,Automático,1596.0,4.1,Plateado,Gris Plata,Tracción delantera,5.0,5.0,4.0,1290.0,Gasolina,6,Alicante,3006,Alicante/Alacant
3,Porsche,992,289900.0,650.0,Prof.,Coupé,Demostración,2,España,18,1650.0,2022,Automático,2967.0,7.2,Gris,Gris Ágata,Tracción a las cuatro ruedas,4.0,7.0,6.0,1785.0,Gasolina,11,Cardedeu,8440,Barcelona
4,Ferrari,812,379999.0,799.0,Prof.,Coupé,Ocasión,2,España,12,4600.0,2018,Automático,1999.0,4.3,Rojo,Rosso Corsa,Tracción trasera,5.0,8.0,4.0,1565.0,Gasolina,1,Marbella,29670,Málaga
5,DS Automobiles,DS 7 Crossback,212901.0,131.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,41000.0,2020,Manual,1560.0,4.6,Negro,Negro,Tracción delantera,5.0,6.0,4.0,1503.0,Diésel,3,Pamplona,31009,Navarra
6,Bentley,Continental,64500.0,610.0,Prof.,Coupé,Ocasión,2,España,12,92025.0,2009,Automático,1597.0,4.5,Blanco,Blanco,Tracción delantera,5.0,6.0,4.0,1541.0,Gasolina,6,San pedro de alcantara,29670,Málaga
7,Mercedes-Benz,GLC 250,359001.0,204.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,49000.0,2019,Automático,1499.0,5.5,Azul,PACK AMG,Tracción delantera,5.0,6.0,3.0,1365.0,Diésel,5,San sebastian de los reyes,28703,Madrid
8,Mercedes-Benz,GLS 500,69991.0,455.0,Prof.,SUV/4x4/Pickup,Ocasión,5,España,24,55925.0,2018,Automático,1496.0,3.4,NEGRO OBSIDIANA,NEGRO OBSIDIANA,Tracción delantera,4.0,6.0,3.0,1115.0,Gasolina,7,Jaen,23009,Jaén
9,Ferrari,F12,195000.0,741.0,Prof.,Coupé,Ocasión,3,España,12,53200.0,2013,Automático,1999.0,6.5,Negro,Negro,Tracción a las cuatro ruedas,5.0,9.0,4.0,1768.0,Gasolina,2,San sebastian de los reyes,28703,Madrid
