,Fecha extrac,Enlace,Marca,Modelo,Precio,Localización,Potencia,Tipo vendedor,Categoría,Tipo de vehículo,puertas,Versión del país,Garantía,Kilometraje,Año,Tipo de cambio,Capacidad,Consumo de combustible,Color exterior,Color original,Tracción,plazas,Número de marchas,Número de cilindros,Peso,Tipo de combustible,Mes
0,2023-11-11,https://www.autoscout24.es/anuncios/lynk-co-01-1-1-5-hev-electro-gasolina-azul-651385ce-4a37-49cf-be06-9341ca531cda,Lynk & Co,01,226301.0,https://maps.google.com/?q=AVENIDA%20CARLOS%20SAINZ%2C%2015%20LEGANES%2C%2028914%20MADRID%2C%20ES,197,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,53627,2021,Automático,998.0,8.3,Azul,Azul,Tracción delantera,5,6,3,1237.0,Gasolina,11
1,2023-11-11,https://www.autoscout24.es/anuncios/cupra-formentor-1-5-tsi-150-gasolina-negro-aeac313c-adee-406f-9cf2-8294c1856abd,Cupra,Formentor,20995.0,https://maps.google.com/?q=AVENIDA%20DE%20CATALU%C3%91A%20103%2C%2050014%20ZARAGOZA%2C%20ES,150,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,26141,2021,Manual,1968.0,12.1,Negro,Negro Midnight (metalizado),Tracción a las cuatro ruedas,5,7,4,1761.0,Diésel,5
2,2023-11-11,https://www.autoscout24.es/anuncios/gmc-yukon-denali-6-2-v8-4wd-gasolina-gris-d8e63064-1729-4d93-9942-780d82a86aef,GMC,Yukon,79000.0,https://maps.google.com/?q=C%2F%20VICENTE%20MUZAS%2C%203%20-%20LOCAL.%2C%2028043%20MADRID%2C%20ES,426,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,81422,2018,Automático,1995.0,5.1,Gris,Gris,Tracción a las cuatro ruedas,2,8,4,1760.0,Diésel,6
3,2023-11-11,https://www.autoscout24.es/anuncios/infiniti-q50-3-5-hybrid-sport-aut-electro-gasolina-9fc6e59e-3c38-4c3d-96e0-7ce83797f870,Infiniti,Q50,27250.0,https://maps.google.com/?q=CARRETERA%20N-II%20N%C2%BA%2013%2C%2017458%20FORNELLS%20DE%20LA%20SELVA%2C%20ES,364,Prof.,Sedán,Ocasión,4,España,12,92253,2019,Automático,4134.0,2.7,ROJO,ROJO,Tracción a las cuatro ruedas,4,8,8,2215.0,Diésel,1
4,2023-11-11,https://www.autoscout24.es/anuncios/audi-r8-4-2-fsi-quattro-r-tronic-gasolina-plateado-650fba34-44e3-4146-b0f8-558b1f4fd1e7,Audi,R8,51500.0,https://maps.google.com/?q=Ctra.%20Madrid%2C%20Km.%204%2C%203006%20ALICANTE%2C%20ES,420,Prof.,Coupé,Ocasión,2,España,12,81100,2007,Automático,1600.0,5.3,Plateado,Gris Plata,Tracción delantera,5,6,4,1580.0,Diésel,6
5,2023-11-11,https://www.autoscout24.es/anuncios/porsche-992-turbo-s-coupe-pdk-gasolina-gris-3e74b690-acb4-4972-b3ab-da6d0721bdbc,Porsche,992,289900.0,https://maps.google.com/?q=Poligono%20Industrial%20Sud%2C%20sector%20P3%20Nave%2010%2C%208440%20CARDEDEU%2C%20ES,650,Prof.,Coupé,Demostración,2,España,18,1650,2022,Automático,1590.0,5.7,Gris,Gris Ágata,Tracción delantera,5,5,4,1285.0,Gasolina,11
6,2023-11-11,https://www.autoscout24.es/anuncios/ferrari-812-superfast-gasolina-rojo-6cd19309-d677-42c4-ad79-212ad720623f,Ferrari,812,379999.0,https://maps.google.com/?q=C%2FCARRIL%20DE%20PICAZA%20N%C2%BA2%20POLG.%20IND.%20SAN%20PEDRO%20DE%20ALCANTARA.%2C%2029670%20MARBELLA%2C%20ES,799,Prof.,Coupé,Ocasión,2,España,12,4600,2018,Automático,1950.0,6.6,Rojo,Rosso Corsa,Tracción trasera,5,9,4,1870.0,Diésel,1
7,2023-11-11,https://www.autoscout24.es/anuncios/ds-automobiles-ds-7-crossback-bluehdi-de-96kw-130cv-so-chic-diesel-negro-e910bea6-d0e7-44b7-91d9-ba920d7fc68c,DS Automobiles,DS 7 Crossback,212901.0,https://maps.google.com/?q=AV.%20DE%20AR%C3%93STEGUI%2C%2030%2C%2031009%20PAMPLONA%2C%20ES,131,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,41000,2020,Manual,5204.0,12.7,Negro,Negro,Tracción trasera,5,7,10,1339.0,Gasolina,3
8,2023-11-11,https://www.autoscout24.es/anuncios/bentley-continental-gt-speed-aut-gasolina-blanco-a1720bfa-178c-448a-9663-e243ccfde1bc,Bentley,Continental,64500.0,https://maps.google.com/?q=Crtra.de%20Cadiz%20Km%20171%2C%2029670%20San%20Pedro%20de%20Alcantara%2C%20ES,610,Prof.,Coupé,Ocasión,2,España,12,92025,2009,Automático,2987.0,7.8,Blanco,Blanco,Tracción trasera,5,8,6,1950.0,Diésel,6
9,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-glc-250-250d-4matic-aut-diesel-azul-956e27d8-5378-43b3-a6d1-9f471ecb094c,Mercedes-Benz,GLC 250,359001.0,https://maps.google.com/?q=AVDA%20CAMINO%20DE%20LO%20CORTAO%20N%C2%BA37%20B%20NAVE%20B%2C%2028703%20SAN%20SEBASTIAN%20DE%20LOS%20REYES%2C%20ES,204,Prof.,SUV/4x4/Pickup,Ocasión,5,España,12,49000,2019,Automático,1796.0,9.1,Azul,PACK AMG,Tracción trasera,4,6,4,935.0,Gasolina,5
10,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-gls-500-4matic-aut-gasolina-840764c3-5fa1-4fc2-8f15-4fea6c89c55b,Mercedes-Benz,GLS 500,69991.0,https://maps.google.com/?q=CARRETERA%20DE%20MADRID%20KM%20332%2C%2023009%20JAEN%2C%20ES,455,Prof.,SUV/4x4/Pickup,Ocasión,5,España,24,55925,2018,Automático,1987.0,4.1,NEGRO OBSIDIANA,NEGRO OBSIDIANA,Tracción delantera,4,1,4,1615.0,Gasolina,7
11,2023-11-11,https://www.autoscout24.es/anuncios/ferrari-f12-f12berlinetta-gasolina-negro-6e65f6ff-7dd7-4149-84e5-9585ab9037ef,Ferrari,F12,195000.0,https://maps.google.com/?q=Avenida%20de%20Somosierra%2C%2012%20Portal%20A-%20Local%20--%20Edificio%20Cristal%2C%2028703%20San%20Sebastian%20de%20los%20Reyes%2C%20ES,741,Prof.,Coupé,Ocasión,3,España,12,53200,2013,Automático,1495.0,5.648314606741573,Negro,Negro,Tracción delantera,7,7,4,1380.0,Gasolina,2
12,2023-11-11,https://www.autoscout24.es/anuncios/mercedes-benz-s-400-400d-4matic-9g-tronic-diesel-gris-57dc12f0-c7a2-4d17-af19-13ec5e4308bc,Mercedes-Benz,S 400,105900.0,https://maps.google.com/?q=C%2F%20DRETS%20HUMANS%2C%2029%2C%208870%20SITGES%2C%20ES,330,Prof.,Sedán,Ocasión,4,España,24,19000,2022,Automático,2987.0,8.5,Gris,Selenita,Tracción trasera,5,8,6,2060.0,Diésel,10
13,2023-11-11,https://www.autoscout24.es/anuncios/maserati-granturismo-s-aut-gasolina-negro-9269a253-5365-4df7-a6aa-60d5e8e0338c,Maserati,GranTurismo,34990.0,https://maps.google.com/?q=AVENIDA%20FERNAN%20NU%C3%91EZ%20N%C2%BA6%2C%2014191%20EL%20ARRECIFE%2F%20LA%20CARLOTA%2C%20ES,439,Prof.,Coupé,Ocasión,2,España,12,100000,2008,Automático,1999.0,4.3,Negro,Negro,Tracción a las cuatro ruedas,2,1,1,1708.0,Eléctrico,6
